scene_id,split,oracle_exterior_P80_mm,ground_truth_P80_mm,oracle_signed_error_pct_vs_full,oracle_abs_error_pct_vs_full,n_visible_fragments,n_exterior_points
34,train,359.0820579603403,269.88032064032876,33.05233116233446,33.05233116233446,140,6683
35,train,385.5043591942068,283.2030987001697,36.12293119798969,36.12293119798969,146,7766
36,train,344.6959234669589,302.63225187663477,13.899269271363385,13.899269271363385,145,7247
37,train,324.35165325216906,258.50648404818156,25.47138012666444,25.47138012666444,145,6373
38,train,351.1546340621688,284.9914185555851,23.21586237295041,23.21586237295041,138,6701
39,train,278.0306155064601,280.96504498523893,-1.0444108728660553,1.0444108728660553,143,6420
40,train,276.39973629206486,257.350954328596,7.401869564915857,7.401869564915857,137,7663
41,train,367.2228669452569,284.24725623557,29.191349745490896,29.191349745490896,145,7464
42,train,325.8719014705979,282.0705992616702,15.528489081662226,15.528489081662226,141,6699
43,train,331.18294053911205,268.98075529723354,23.12514334831978,23.12514334831978,146,8178
44,train,308.69346658393425,267.16133528054326,15.545711829811957,15.545711829811957,139,6965
45,train,338.8959576427065,263.79450681494353,28.469679575415853,28.469679575415853,140,6407
46,train,357.5326926163146,261.78077916166467,36.57713670243055,36.57713670243055,146,7499
47,train,292.8512069224173,282.98084055621115,3.487998108566474,3.487998108566474,140,6820
48,train,346.6328679508463,285.71305486044514,21.322026436683846,21.322026436683846,138,6737
49,train,302.1494322237191,275.74676286164777,9.5749698339409,9.5749698339409,145,7382
50,train,302.0078503088639,267.3372367607316,12.968868073983527,12.968868073983527,141,6378
51,train,320.8977594632458,259.27325120233667,23.768170443783035,23.768170443783035,142,7696
52,train,281.34615533174025,239.92493779803738,17.26424018855855,17.26424018855855,136,7130
53,train,353.28650381613016,261.8630416003905,34.91270156223655,34.91270156223655,140,7476
54,train,293.5025398070205,241.14928551625624,21.70989400971502,21.70989400971502,136,6657
55,train,277.8703748257536,249.62903064011655,11.313325262377758,11.313325262377758,142,6752
56,train,298.6745217350238,250.91771997398885,19.03285338555827,19.03285338555827,142,6865
